Etnii,Total,Romani,Maghiari,Romi,Ucraineni,Germani,Turci,"Rusi-Lipoveni",Tatari,Sarbi,Slovaci,Bulgari,Croati,Greci,Italieni,Evrei,Cehi,Polonezi,Ruteni,Armeni,Albanezi,Macedoneni,"Alta etnie",Informatie nedisponibila,

ROMANIA,
Ambele sexe,19053815,14801442,1002151,569477,45835,22907,20945,19394,18156,12026,10232,5975,4842,2086,4039,2378,1576,2137,834,1213,645,1089,19510,2484926,
Masculin,9245544,7159309,480563,290760,23033,11421,11315,9091,8630,5928,4890,2919,2377,1250,3362,1358,767,1021,421,592,402,536,12877,1212722,
Feminin,9808271,7642133,521588,278717,22802,11486,9630,10303,9526,6098,5342,3056,2465,836,677,1020,809,1116,413,621,243,553,6633,1272204,

ALBA,
Ambele sexe,325941,268753,11494,13041,19,544,29,10,*,3,17,6,*,*,68,14,8,4,20,*,*,-,124,31780,
Masculin,160287,131575,5639,6691,4,293,24,6,*,3,9,4,-,*,63,7,6,*,8,*,*,-,74,15875,
Feminin,165654,137178,5855,6350,15,251,5,4,-,-,8,*,*,-,5,7,*,3,12,*,-,-,50,15905,

ARAD,
Ambele sexe,410143,317713,25731,16747,941,2000,66,27,*,510,3310,510,7,16,353,60,94,20,148,*,46,5,534,41301
Masculin,199202,153681,11939,8581,454,1010,57,11,*,258,1559,243,5,12,282,37,41,11,74,*,37,3,381,20524
Feminin,210941,164032,13792,8166,487,990,9,16,*,252,1751,267,*,4,71,23,53,9,74,*,9,*,153,20777

ARGES,
Ambele sexe,569932,497410,102,17056,26,50,65,26,8,8,*,4,*,30,82,5,3,3,*,29,12,-,195,54814
Masculin,276151,240457,38,8730,9,29,58,9,3,5,*,*,*,22,68,*,-,-,-,15,8,-,128,26566
Feminin,293781,256953,64,8326,17,21,7,17,5,3,*,*,-,8,14,3,3,3,*,14,4,-,67,28248

BACAU,
Ambele sexe,601387,502150,4561,14578,28,61,40,23,6,4,*,3,*,30,117,31,*,7,*,40,9,-,335,79358
Masculin,295229,246024,2265,7433,9,32,30,6,*,4,-,*,*,20,107,20,*,*,*,18,8,-,184,39061
Feminin,306158,256126,2296,7145,19,29,10,17,4,-,*,*,-,10,10,11,*,5,*,22,*,-,151,40297

BIHOR,
Ambele sexe,551297,347148,112387,36837,89,529,29,25,6,25,4860,15,*,40,180,135,13,25,5,3,49,4,464,48428
Masculin,267853,168554,53140,18984,22,278,24,10,*,12,2307,6,*,23,163,81,7,8,3,*,36,*,307,23882
Feminin,283444,178594,59247,17853,67,251,5,15,4,13,2553,9,-,17,17,54,6,17,*,*,13,3,157,24546

BISTRITA-NASAUD,
Ambele sexe,295988,247935,11049,11127,34,261,8,8,-,3,3,*,-,3,42,19,-,6,-,*,4,-,86,25398
Masculin,146790,122748,5439,5726,12,134,6,3,-,3,*,-,-,3,36,7,-,4,-,*,4,-,60,12603
Feminin,149198,125187,5610,5401,22,127,*,5,-,-,*,*,-,-,6,12,-,*,-,-,-,-,26,12795

BOTOSANI,
